subnet_idx,bits,weight,path
137,10010001,0.0006916029,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
138,01010001,0.0006807312,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
139,11010001,0.00055089325,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
140,00110001,0.0007906051,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
141,10110001,0.00033860758,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
142,01110001,0.0003377249,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
143,11110001,0.00035917576,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
144,00001001,0.0013669323,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
145,10001001,0.0005969376,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
146,01001001,0.0005235837,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
147,11001001,0.00068399176,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
148,00101001,0.00085264794,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
149,10101001,0.0006921482,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
150,01101001,0.0006176346,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
151,11101001,0.0013027802,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
152,00011001,0.0010416195,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
153,10011001,0.0005184045,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
154,01011001,0.00049512676,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Full | L3.B1:Skip | L4.B0:Skip | L4.B1:Full
